epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,100.624,0.52621,0.63463,0.96786,0.81828,0.75318,0.80041,0.65827,0.84428,1.00199,1.34806,0.000848969,0.000848969,0.000848969
43,102.341,0.54923,0.63961,0.96625,0.84053,0.79487,0.80021,0.65241,0.81138,1.00726,1.31114,0.000834822,0.000834822,0.000834822
44,103.961,0.50527,0.61874,0.95227,0.86681,0.78533,0.80753,0.65727,0.78787,0.96987,1.31226,0.000820675,0.000820675,0.000820675
45,105.699,0.47262,0.57166,0.94784,0.85656,0.81669,0.82623,0.67575,0.78033,0.90898,1.30379,0.000806528,0.000806528,0.000806528
46,108.21,0.49273,0.63594,0.95024,0.87262,0.81744,0.8496,0.70138,0.76003,0.86503,1.26606,0.00079238,0.00079238,0.00079238
47,110.296,0.50753,0.63723,0.95785,0.83039,0.86419,0.86036,0.72313,0.73605,0.84916,1.23876,0.000778233,0.000778233,0.000778233
48,112.015,0.48494,0.58595,0.95145,0.93516,0.8205,0.88887,0.70874,0.77634,0.79565,1.30929,0.000764086,0.000764086,0.000764086
49,113.671,0.50912,0.60886,0.98223,0.83295,0.87134,0.85882,0.65494,0.87233,0.92177,1.41605,0.000749939,0.000749939,0.000749939
50,115.374,0.48173,0.57649,0.95305,0.8577,0.86893,0.8441,0.63694,0.87498,0.94738,1.41048,0.000735792,0.000735792,0.000735792
51,117.037,0.49958,0.58972,0.94515,0.83914,0.84385,0.80486,0.6309,0.93625,1.02799,1.49707,0.000721645,0.000721645,0.000721645
52,118.822,0.51174,0.62845,0.95926,0.85425,0.86909,0.83832,0.65201,0.84008,0.98067,1.41356,0.000707498,0.000707498,0.000707498
53,121.098,0.52297,0.63255,0.9715,0.82709,0.86914,0.81601,0.66058,0.78033,0.94392,1.33371,0.000693351,0.000693351,0.000693351
54,123.181,0.48067,0.59917,0.94078,0.84329,0.84615,0.81288,0.66458,0.7252,0.89266,1.2625,0.000679204,0.000679204,0.000679204
55,124.965,0.44975,0.56212,0.91935,0.90506,0.84859,0.86398,0.68118,0.70613,0.93846,1.23458,0.000665057,0.000665057,0.000665057
56,126.477,0.49709,0.59634,0.96069,0.90311,0.85538,0.86458,0.67536,0.7122,0.9425,1.23921,0.000650909,0.000650909,0.000650909
57,128.285,0.44833,0.55502,0.92278,0.86423,0.83675,0.83002,0.66831,0.74684,0.9496,1.28223,0.000636762,0.000636762,0.000636762
58,129.961,0.46135,0.55335,0.91905,0.8669,0.85779,0.83202,0.66331,0.76126,0.96599,1.29962,0.000622615,0.000622615,0.000622615
59,131.678,0.44636,0.53992,0.93657,0.87394,0.84685,0.83368,0.67478,0.72305,0.98506,1.26202,0.000608468,0.000608468,0.000608468
60,134.265,0.43697,0.52705,0.94111,0.87918,0.84324,0.84787,0.672,0.7016,0.93604,1.26647,0.000594321,0.000594321,0.000594321
61,136.239,0.47134,0.57989,0.94578,0.87532,0.86864,0.84586,0.6628,0.69673,0.9295,1.27812,0.000580174,0.000580174,0.000580174
62,137.902,0.47577,0.54142,0.9532,0.84182,0.84615,0.78994,0.66782,0.7039,0.91409,1.2891,0.000566027,0.000566027,0.000566027
63,139.616,0.41879,0.52834,0.91439,0.8343,0.84615,0.79293,0.68451,0.72012,0.91877,1.30955,0.00055188,0.00055188,0.00055188
64,141.314,0.44482,0.54313,0.93472,0.85061,0.84377,0.86741,0.68433,0.74395,0.87464,1.30668,0.000537733,0.000537733,0.000537733
65,143.052,0.42546,0.49607,0.91511,0.90552,0.82051,0.86436,0.69033,0.72506,0.86568,1.29377,0.000523586,0.000523586,0.000523586
66,144.75,0.42976,0.51496,0.91075,0.87816,0.82051,0.86987,0.69165,0.69514,0.87048,1.25998,0.000509438,0.000509438,0.000509438
67,147.375,0.43825,0.53633,0.90687,0.84199,0.84577,0.88625,0.71757,0.67526,0.82849,1.2502,0.000495291,0.000495291,0.000495291
68,149.146,0.41937,0.50494,0.90751,0.85471,0.84615,0.83551,0.71535,0.66947,0.81916,1.25814,0.000481144,0.000481144,0.000481144
69,150.625,0.43636,0.51025,0.93022,0.8566,0.84615,0.82933,0.70293,0.66815,0.8136,1.25225,0.000466997,0.000466997,0.000466997
70,152.451,0.41622,0.50598,0.92367,0.85412,0.84615,0.81822,0.69453,0.67437,0.82474,1.23506,0.00045285,0.00045285,0.00045285
71,154.118,0.41539,0.50629,0.90911,0.8538,0.84615,0.8194,0.70142,0.64128,0.80239,1.19291,0.000438703,0.000438703,0.000438703
72,155.903,0.4049,0.49247,0.9128,0.80933,0.89441,0.8216,0.7115,0.6611,0.75251,1.21395,0.000424556,0.000424556,0.000424556
73,157.585,0.3843,0.51723,0.90608,0.79615,0.89744,0.81526,0.71125,0.657,0.773,1.23322,0.000410409,0.000410409,0.000410409
74,160.039,0.38095,0.47435,0.89544,0.82849,0.81654,0.81947,0.7069,0.64686,0.77366,1.24754,0.000396262,0.000396262,0.000396262
75,162.012,0.3919,0.46081,0.90277,0.83481,0.82051,0.81207,0.70085,0.62336,0.78183,1.21869,0.000382115,0.000382115,0.000382115
76,163.817,0.40718,0.49754,0.90715,0.84625,0.84615,0.8178,0.68824,0.6835,0.8126,1.24216,0.000367967,0.000367967,0.000367967
77,165.413,0.38318,0.47046,0.91635,0.82628,0.82051,0.82505,0.69696,0.69194,0.8112,1.23751,0.00035382,0.00035382,0.00035382
78,167.207,0.39126,0.46477,0.90063,0.8397,0.79487,0.82402,0.68586,0.68899,0.80525,1.22952,0.000339673,0.000339673,0.000339673
79,168.904,0.3741,0.49513,0.89792,0.8222,0.81745,0.82327,0.68708,0.68839,0.80129,1.21695,0.000325526,0.000325526,0.000325526
80,170.594,0.38531,0.46304,0.89532,0.82198,0.84142,0.848,0.69656,0.71607,0.79694,1.21077,0.000311379,0.000311379,0.000311379
81,173.175,0.40373,0.50495,0.9191,0.84499,0.81404,0.8607,0.71024,0.70994,0.80418,1.21153,0.000297232,0.000297232,0.000297232
82,175.209,0.38379,0.44226,0.89959,0.84292,0.8162,0.86148,0.71056,0.70172,0.80846,1.21438,0.000283085,0.000283085,0.000283085
83,176.901,0.37875,0.44526,0.88048,0.86477,0.81477,0.83216,0.68586,0.67438,0.79547,1.19361,0.000268938,0.000268938,0.000268938
84,178.66,0.3717,0.45389,0.89696,0.79815,0.89138,0.82493,0.67897,0.63924,0.74467,1.17059,0.000254791,0.000254791,0.000254791
85,180.276,0.37912,0.46099,0.9047,0.81497,0.84596,0.81899,0.69606,0.62463,0.74372,1.16167,0.000240644,0.000240644,0.000240644
